Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 58.0,,2018-04-23 14:00:31,2018-04-23 14:01:39,"1m - 8,560s",PASSED
,,,,,,
Test Cases/LoginKO,Firefox 58.0,,2018-04-23 14:00:31,2018-04-23 14:01:02,"31,079s",PASSED
openBrowser,Firefox 58.0,,2018-04-23 14:00:31,2018-04-23 14:00:36,"4,334s",PASSED
navigateToUrl,Firefox 58.0,,2018-04-23 14:00:36,2018-04-23 14:00:59,"23,321s",PASSED
setText,Firefox 58.0,,2018-04-23 14:00:59,2018-04-23 14:00:59,"0,161s",PASSED
setText,Firefox 58.0,,2018-04-23 14:00:59,2018-04-23 14:00:59,"0,069s",PASSED
click,Firefox 58.0,,2018-04-23 14:00:59,2018-04-23 14:01:01,"2,008s",PASSED
click,Firefox 58.0,,2018-04-23 14:01:01,2018-04-23 14:01:02,"0,273s",PASSED
click,Firefox 58.0,,2018-04-23 14:01:02,2018-04-23 14:01:02,"0,245s",PASSED
closeBrowser,Firefox 58.0,,2018-04-23 14:01:02,2018-04-23 14:01:02,"0,262s",PASSED
,,,,,,
Test Cases/LoginOK,Firefox 58.0,,2018-04-23 14:01:02,2018-04-23 14:01:39,"37,062s",PASSED
openBrowser,Firefox 58.0,,2018-04-23 14:01:02,2018-04-23 14:01:05,"2,789s",PASSED
navigateToUrl,Firefox 58.0,,2018-04-23 14:01:05,2018-04-23 14:01:37,"31,450s",PASSED
setText,Firefox 58.0,,2018-04-23 14:01:37,2018-04-23 14:01:37,"0,104s",PASSED
setText,Firefox 58.0,,2018-04-23 14:01:37,2018-04-23 14:01:37,"0,066s",PASSED
click,Firefox 58.0,,2018-04-23 14:01:37,2018-04-23 14:01:39,"1,922s",PASSED
click,Firefox 58.0,,2018-04-23 14:01:39,2018-04-23 14:01:39,"0,244s",PASSED
closeBrowser,Firefox 58.0,,2018-04-23 14:01:39,2018-04-23 14:01:39,"0,213s",PASSED
