Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 66.0.3359.117,,2018-04-23 12:48:53,2018-04-23 12:49:16,"23,439s",PASSED
,,,,,,
Test Cases/LoginKO,Chrome 66.0.3359.117,,2018-04-23 12:48:54,2018-04-23 12:49:07,"13,048s",PASSED
openBrowser,Chrome 66.0.3359.117,,2018-04-23 12:48:54,2018-04-23 12:48:59,"4,440s",PASSED
navigateToUrl,Chrome 66.0.3359.117,,2018-04-23 12:48:59,2018-04-23 12:49:04,"5,322s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-23 12:49:04,2018-04-23 12:49:04,"0,456s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-23 12:49:04,2018-04-23 12:49:05,"0,188s",PASSED
click,Chrome 66.0.3359.117,,2018-04-23 12:49:05,2018-04-23 12:49:05,"0,949s",PASSED
click,Chrome 66.0.3359.117,,2018-04-23 12:49:05,2018-04-23 12:49:06,"0,210s",PASSED
click,Chrome 66.0.3359.117,,2018-04-23 12:49:06,2018-04-23 12:49:06,"0,129s",PASSED
closeBrowser,Chrome 66.0.3359.117,,2018-04-23 12:49:06,2018-04-23 12:49:07,"0,831s",PASSED
,,,,,,
Test Cases/LoginOK,Chrome 66.0.3359.117,,2018-04-23 12:49:07,2018-04-23 12:49:16,"9,754s",PASSED
openBrowser,Chrome 66.0.3359.117,,2018-04-23 12:49:07,2018-04-23 12:49:11,"3,805s",PASSED
navigateToUrl,Chrome 66.0.3359.117,,2018-04-23 12:49:11,2018-04-23 12:49:14,"3,206s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-23 12:49:14,2018-04-23 12:49:14,"0,209s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-23 12:49:14,2018-04-23 12:49:14,"0,208s",PASSED
click,Chrome 66.0.3359.117,,2018-04-23 12:49:14,2018-04-23 12:49:15,"1,026s",PASSED
click,Chrome 66.0.3359.117,,2018-04-23 12:49:15,2018-04-23 12:49:16,"0,171s",PASSED
closeBrowser,Chrome 66.0.3359.117,,2018-04-23 12:49:16,2018-04-23 12:49:16,"0,852s",PASSED
