Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 59.0,,2018-04-23 11:21:53,2018-04-23 11:22:51,"58,351s",FAILED
,,,,,,
Test Cases/LoginTestCase,Firefox 59.0,,2018-04-23 11:21:54,2018-04-23 11:22:51,"57,142s",FAILED
openBrowser,Firefox 59.0,,2018-04-23 11:21:54,2018-04-23 11:22:35,"41,201s",PASSED
navigateToUrl,Firefox 59.0,,2018-04-23 11:22:35,2018-04-23 11:22:41,"5,175s",PASSED
setText,Firefox 59.0,,2018-04-23 11:22:41,2018-04-23 11:22:42,"1,686s",PASSED
setText,Firefox 59.0,,2018-04-23 11:22:42,2018-04-23 11:22:45,"2,346s",PASSED
click,Firefox 59.0,,2018-04-23 11:22:45,2018-04-23 11:22:50,"5,669s",PASSED
click,Firefox 59.0,,2018-04-23 11:22:50,2018-04-23 11:22:51,"0,543s",FAILED
